INSERT INTO `students` (`id`, `degree_id`, `name`, `surname`, `date_of_birth`, `fiscal_code`, `enrolment_date`, `registration_number`, `email`) VALUES
('necessitatibus sed vel', 15),
('architecto id cum', 13),
('sunt fuga qui', 15),
('perferendis ipsa et', 12),
('fugit debitis sapiente', 12),
('iure impedit iusto', 12),
('quia aspernatur dolorum', 13),
('voluptas veniam similique', 13),
('culpa nemo aut', 11),
('animi aliquid consequatur', 13),
('dignissimos eos sit', 13),
('cum doloremque nostrum', 12),
('nesciunt eligendi sed', 13),
('et magni voluptas', 15),
('vel deleniti tempore', 15),
('ea impedit quidem', 12),
('aliquid ducimus optio', 13),
('saepe harum quidem', 15),
('et sed eum', 12),
('eligendi quia voluptatem', 12),
('sit atque nulla', 13),
('commodi nam mollitia', 12),
('provident culpa labore', 11),
('error ut officiis', 13),
('quas quo rem', 13),
('ut dolores maiores', 14),
('facere ad rerum', 14),
('quidem rerum illum', 12),
('vel molestiae sed', 14),
('dolor laborum optio', 15),
('quod veritatis incidunt', 14),
('sapiente nihil et', 13),
('illum ex doloremque', 11),
('laborum provident voluptatibus', 14),
('voluptates sed eaque', 15),
('quia porro consectetur', 12),
('sed quo delectus', 12),
('molestiae est qui', 12),
('rem adipisci dolorem', 15),
('et possimus assumenda', 11),
('amet dicta et', 14),
('et iure natus', 11),
('magnam saepe nihil', 12),
('distinctio numquam illum', 14),
('ducimus sapiente at', 14),
('et est porro', 14),
('et et saepe', 12),
('quia eos doloremque', 14),
('ipsa aliquid sapiente', 15),
('est earum iure', 11),
('esse harum quaerat', 11),
('nesciunt et ullam', 14),
('rerum voluptatibus iusto', 11),
('culpa quis expedita', 12),
('rerum vel voluptatem', 12),
('inventore praesentium voluptatem', 12),
('illum sit dolores', 13),
('qui dignissimos quis', 15),
('atque et consectetur', 13),
('quidem voluptas est', 11),
('assumenda dolorum perspiciatis', 11),
('voluptate quos esse', 13),
('dolore enim eius', 14),
('sed possimus expedita', 14),
('vitae vitae aperiam', 11),
('tempora nesciunt aut', 13),
('ipsa assumenda eligendi', 15),
('ab error incidunt', 11),
('ut veritatis magnam', 15),
('dolor ab possimus', 15),
('labore qui et', 12),
('reiciendis molestiae qui', 14),
('modi sed earum', 12),
('vero harum cupiditate', 13),
('culpa voluptas voluptatem', 13),
('ad molestiae necessitatibus', 11),
('nihil quia at', 12),
('facilis adipisci provident', 15),
('totam illo non', 13),
('facere adipisci sed', 15),
('non explicabo aut', 14),
('quo dolor aspernatur', 15),
('accusamus et quidem', 14),
('quia voluptatibus nisi', 12),
('aperiam ut suscipit', 11),
('aut nesciunt deleniti', 11),
('error quia minus', 14),
('dicta ducimus odit', 13),
('ex molestiae rerum', 13),
('quam voluptatem nihil', 15),
('labore sequi incidunt', 12),
('qui doloremque dolorem', 12),
('ut eius error', 13),
('rerum aperiam ducimus', 14),
('sapiente pariatur voluptates', 13),
('velit esse soluta', 14),
('tempore quod eum', 11),
('accusamus nesciunt quia', 14),
('eum beatae earum', 11),
('fuga at officiis', 15),
('perspiciatis voluptates veniam', 11),
('similique id non', 13),
('consequatur expedita voluptas', 14),
('est in officia', 14),
('reiciendis totam quis', 12),
('amet qui quibusdam', 14),
('necessitatibus sit neque', 14),
('asperiores eveniet maxime', 15),
('et in aspernatur', 12),
('hic inventore a', 15),
('dolores et est', 12),
('ea quo itaque', 14),
('est aspernatur et', 11),
('sit voluptas rem', 12),
('voluptas aliquid molestiae', 12),
('facere sit est', 11),
('doloribus nemo iure', 12),
('aut cumque rerum', 14),
('perspiciatis itaque rerum', 12),
('saepe laudantium quia', 14),
('et vero aspernatur', 15),
('ut ut laboriosam', 15),
('blanditiis sit doloribus', 14),
('natus unde quibusdam', 15),
('non voluptatibus quia', 13),
('nam aut reprehenderit', 12),
('totam expedita vel', 14),
('unde veritatis a', 12),
('quaerat id possimus', 11),
('quidem ipsa laborum', 15),
('illum est ea', 11),
('natus dolores mollitia', 14),
('omnis voluptas molestias', 14),
('tenetur est et', 14),
('voluptas exercitationem voluptates', 14),
('magni in perferendis', 11),
('enim odit debitis', 15),
('sed nostrum consequuntur', 15),
('non dolorem sequi', 13),
('rerum cupiditate tempore', 13),
('sunt qui mollitia', 11),
('animi nihil aliquam', 12),
('commodi praesentium repudiandae', 13),
('sint explicabo quae', 12),
('quidem provident praesentium', 12),
('rerum dignissimos et', 15),
('architecto eligendi consequatur', 13),
('ea enim adipisci', 13),
('dolorum quos eum', 13),
('aut reprehenderit deleniti', 12),
('iure qui et', 13),
('commodi sint fugit', 11),
('aspernatur fugiat reprehenderit', 12),
('odit odio veniam', 12),
('magnam quis dolore', 14),
('labore tempora odit', 11),
('qui nemo ad', 13),
('quaerat accusamus eos', 11),
('qui quis quam', 14),
('neque architecto est', 11),
('sapiente saepe porro', 12),
('exercitationem explicabo fuga', 12),
('voluptatem aliquam nam', 13),
('voluptatem consectetur voluptas', 13),
('dolorem nemo rem', 14),
('minima aliquam numquam', 12),
('tempora laboriosam iusto', 13),
('enim id deserunt', 12),
('molestiae incidunt facilis', 11),
('commodi suscipit perspiciatis', 13),
('nostrum fugiat optio', 12),
('magnam vel sed', 14),
('voluptatem fuga incidunt', 13),
('explicabo quaerat ducimus', 11),
('est in quasi', 13),
('dolorem blanditiis nemo', 14),
('temporibus tempore ipsam', 13),
('est illum inventore', 12),
('delectus omnis dolores', 12),
('est cum explicabo', 15),
('iusto quibusdam et', 11),
('est id hic', 14),
('in perferendis non', 12),
('iste in animi', 13),
('ullam voluptatem facere', 14),
('quasi occaecati nulla', 15),
('ipsa sint omnis', 12),
('quaerat et soluta', 13),
('qui laboriosam molestiae', 14),
('sint quam unde', 12),
('nobis delectus veritatis', 14),
('quidem minus minus', 14),
('harum illo consequatur', 11),
('minus maiores porro', 11),
('qui nemo in', 11),
('blanditiis numquam quos', 11),
('nemo fugiat rerum', 12),
('omnis culpa voluptatem', 11),
('est omnis possimus', 13),
('consequatur est numquam', 13),
('atque non numquam', 13),
('fuga pariatur excepturi', 12),
('voluptatem architecto alias', 15),
('nihil omnis et', 12),
('voluptatem perferendis repellendus', 13),
('eveniet rerum minima', 12),
('earum numquam deserunt', 15),
('labore dolorem ipsa', 14),
('est explicabo iste', 12),
('commodi laboriosam cumque', 12),
('amet quod repudiandae', 15),
('voluptas dolores quos', 14),
('et doloribus qui', 12),
('rerum deserunt eaque', 11),
('cupiditate ullam earum', 14),
('assumenda impedit nihil', 12),
('nam ratione officiis', 11),
('dolor repellat dignissimos', 12),
('distinctio ullam aspernatur', 12),
('quasi fugit est', 12),
('nobis aut voluptas', 12),
('quis aperiam ab', 14),
('quia consectetur consequatur', 13),
('porro aliquid est', 11),
('natus quia recusandae', 12),
('veniam unde laborum', 13),
('at dolorem temporibus', 11),
('doloribus iusto quia', 13),
('est et in', 15),
('ut sint qui', 12),
('alias iure possimus', 15),
('numquam aspernatur nesciunt', 14),
('nihil ipsa et', 13),
('labore rerum deleniti', 11),
('rem ut ea', 15),
('vel et dolores', 13),
('illum ad quos', 14),
('quisquam error aut', 13),
('fugit quis rerum', 11),
('eius provident sapiente', 12),
('quaerat in ut', 11),
('ut quo ducimus', 11),
('et occaecati eius', 13),
('sit assumenda ut', 15),
('enim quae quos', 13),
('distinctio rerum dolor', 14),
('et earum tenetur', 14),
('et enim occaecati', 15),
('iusto consequatur quae', 13),
('sequi temporibus aut', 15),
('ea eos dolor', 13),
('voluptatem repudiandae rerum', 15),
('eos est dolor', 11),
('architecto atque dolorem', 12),
('enim voluptate perferendis', 15),
('voluptas hic laboriosam', 11),
('soluta alias fugiat', 14),
('aut debitis nesciunt', 14),
('ex perspiciatis blanditiis', 12),
('porro illo ea', 13),
('facere explicabo quam', 15),
('ullam ducimus architecto', 15),
('sunt culpa id', 11),
('vel ipsa eos', 14),
('ut qui reiciendis', 14),
('et eius occaecati', 14),
('porro autem cumque', 12),
('ex quaerat commodi', 13),
('omnis quibusdam et', 15),
('autem tempora ipsa', 11),
('corporis harum maxime', 11),
('in blanditiis dolorum', 13),
('consequatur fugiat quia', 13),
('quos pariatur aliquid', 12),
('culpa nulla aut', 13),
('aliquam molestias sit', 12),
('consequuntur aut pariatur', 15),
('et deserunt vitae', 11),
('enim cupiditate laudantium', 13),
('dolores dolor voluptas', 15),
('ut quis illo', 11),
('consequatur aperiam illo', 12),
('consequatur in ratione', 11),
('accusantium aut dicta', 12),
('iure alias at', 12),
('quia error voluptates', 11),
('quas est repellat', 14),
('consequatur occaecati illo', 11),
('eum et saepe', 11),
('ipsa quas quia', 11),
('facilis magnam rem', 12),
('necessitatibus consequatur aperiam', 13),
('magnam voluptatem harum', 11),
('rerum et qui', 15),
('ex totam sint', 12),
('vel velit non', 15),
('quas cum vel', 13),
('nostrum atque ipsa', 11),
('consequatur architecto consequatur', 13),
('eaque dolores est', 13),
('eius eum itaque', 12),
('sunt consequatur soluta', 13),
('nihil consectetur ex', 12),
('eveniet qui cumque', 15),
('molestiae aut sit', 12),
('incidunt aperiam qui', 12),
('aut dolorum distinctio', 14),
('fugit distinctio quibusdam', 14),
('autem possimus illum', 14),
('officia cumque tempore', 15),
('voluptas sit aliquam', 11),
('amet itaque fugit', 12),
('doloribus debitis eveniet', 11),
('adipisci ut quis', 12),
('voluptas corporis recusandae', 12),
('unde at voluptas', 11),
('exercitationem ea omnis', 14),
('accusantium tempora vel', 11),
('praesentium mollitia rerum', 15),
('qui sapiente voluptatem', 14),
('quia non rerum', 15),
('reiciendis dolorum labore', 13),
('laboriosam aperiam ut', 12),
('et fugit occaecati', 15),
('repudiandae amet similique', 14),
('debitis est saepe', 11),
('molestiae distinctio quis', 14),
('quaerat in qui', 11),
('minus expedita et', 12),
('consectetur aut est', 14),
('unde commodi qui', 14),
('porro et aut', 14),
('qui vitae molestias', 14),
('enim unde dolorem', 12),
('sit amet voluptatum', 13);

/////////////////////////////////////////////////////////////////////////////////////////

INSERT INTO `students` (`name`, `date_of_birth`) VALUES
('Boris', '1990-12-28'),
('Ninfa', '1990-12-28'),
('Lidia', '1990-12-28'),
('Artemide', '1990-12-21'),
('Graziano', '1990-12-18'),
('Costanzo', '1990-12-18'),
('Elga', '1990-12-18'),
('Vania', '1990-12-06'),
('Damiana', '1990-12-04'),
('Zelida', '1990-12-03'),
('Gianleonardo', '1990-11-28'),
('Concetta', '1990-11-27'),
('Carlo', '1990-11-26'),
('Gregorio', '1990-11-21'),
('Lucia', '1990-11-18'),
('Nayade', '1990-11-18'),
('Matilde', '1990-11-17'),
('Alan', '1990-11-15'),
('Erminia', '1990-11-14'),
('Brigitta', '1990-11-14'),
('Albino', '1990-11-13'),
('Furio', '1990-10-30'),
('Noemi', '1990-10-28'),
('Cleros', '1990-10-24'),
('Kristel', '1990-10-21'),
('Kris', '1990-10-21'),
('Boris', '1990-10-17'),
('Vitalba', '1990-10-16'),
('Manuele', '1990-10-16'),
('Elio', '1990-10-16'),
('Eriberto', '1990-10-14'),
('Marino', '1990-10-12'),
('Carlo', '1990-10-10'),
('Marieva', '1990-10-03'),
('Jole', '1990-09-20'),
('Noemi', '1990-09-19'),
('Tolomeo', '1990-09-17'),
('Silverio', '1990-09-15'),
('Vania', '1990-09-14'),
('Ubaldo', '1990-09-12'),
('Anastasio', '1990-09-09'),
('Maruska', '1990-09-07'),
('Harry', '1990-09-03'),
('Ursula', '1990-09-02'),
('Marieva', '1990-08-30'),
('Marcella', '1990-08-29'),
('Bibiana', '1990-08-28'),
('Irene', '1990-08-26'),
('Gianmarco', '1990-08-26'),
('Raniero', '1990-08-26'),
('Gavino', '1990-08-19'),
('Miriana', '1990-08-15'),
('Rita', '1990-08-14'),
('Ivano', '1990-08-13'),
('Marco', '1990-08-12'),
('Fabiano', '1990-08-11'),
('Carlo', '1990-08-10'),
('Secondo', '1990-08-09'),
('Rosalino', '1990-08-05'),
('Ivano', '1990-08-04'),
('Ruth', '1990-07-31'),
('Augusto', '1990-07-31'),
('Davis', '1990-07-28'),
('Valdo', '1990-07-27'),
('Jelena', '1990-07-27'),
('Timothy', '1990-07-25'),
('Olimpia', '1990-07-25'),
('Monia', '1990-07-19'),
('Egisto', '1990-07-18'),
('Enrica', '1990-07-13'),
('Ingrid', '1990-07-12'),
('Leonardo', '1990-07-11'),
('Ethan', '1990-07-08'),
('Oreste', '1990-07-08'),
('Assia', '1990-07-07'),
('Raniero', '1990-07-04'),
('Samira', '1990-06-28'),
('Iacopo', '1990-06-20'),
('Adriano', '1990-06-16'),
('Laura', '1990-06-11'),
('Cleros', '1990-06-08'),
('Egisto', '1990-06-07'),
('Claudia', '1990-06-02'),
('Erminia', '1990-06-01'),
('Kociss', '1990-06-01'),
('Clea', '1990-05-30'),
('Shaira', '1990-05-30'),
('Morgana', '1990-05-30'),
('Primo', '1990-05-25'),
('Rudy', '1990-05-24'),
('Rodolfo', '1990-05-21'),
('Fortunata', '1990-05-19'),
('Amos', '1990-05-14'),
('Pietro', '1990-05-11'),
('Iacopo', '1990-05-09'),
('Davis', '1990-05-09'),
('Samira', '1990-05-07'),
('Danthon', '1990-05-03'),
('Fortunata', '1990-05-02'),
('Tancredi', '1990-05-02'),
('Deborah', '1990-04-30'),
('Elda', '1990-04-29'),
('Maika', '1990-04-29'),
('Lauro', '1990-04-29'),
('Iacopo', '1990-04-29'),
('Cassiopea', '1990-04-28'),
('Selvaggia', '1990-04-26'),
('Cira', '1990-04-26'),
('Vera', '1990-04-26'),
('Rita', '1990-04-26'),
('Pablo', '1990-04-26'),
('Guendalina', '1990-04-24'),
('Donatella', '1990-04-22'),
('Amedeo', '1990-04-20'),
('Giacinta', '1990-04-17'),
('Cira', '1990-04-12'),
('Danuta', '1990-04-06'),
('Ortensia', '1990-04-05'),
('Mauro', '1990-04-05'),
('Dindo', '1990-04-04'),
('Ivano', '1990-04-01'),
('Tolomeo', '1990-03-30'),
('Germano', '1990-03-27'),
('Harry', '1990-03-23'),
('Ileana', '1990-03-17'),
('Bibiana', '1990-03-14'),
('Giancarlo', '1990-03-14'),
('Prisca', '1990-03-12'),
('Pietro', '1990-03-12'),
('Violante', '1990-03-10'),
('Giuliano', '1990-03-10'),
('Samira', '1990-03-08'),
('Caligola', '1990-03-07'),
('Danny', '1990-03-05'),
('Rufo', '1990-03-03'),
('Silverio', '1990-03-02'),
('Silverio', '1990-02-27'),
('Boris', '1990-02-25'),
('Ausonio', '1990-02-23'),
('Grazia', '1990-02-21'),
('Mirko', '1990-02-10'),
('Nazzareno', '1990-02-06'),
('Flaviana', '1990-02-06'),
('Giulietta', '1990-02-04'),
('Gaetano', '1990-01-31'),
('Graziano', '1990-01-31'),
('Bacchisio', '1990-01-30'),
('Lauro', '1990-01-30'),
('Carlo', '1990-01-29'),
('Olimpia', '1990-01-28'),
('Isira', '1990-01-27'),
('Laura', '1990-01-26'),
('Cleopatra', '1990-01-14'),
('Damiana', '1990-01-12'),
('Violante', '1990-01-10'),
('Leone', '1990-01-09'),
('Cosetta', '1990-01-06'),
('Maika', '1990-01-04'),
('Terzo', '1990-01-04'),
('Folco', '1990-01-03'),
('Gilda', '1989-12-29'),
('Folco', '1989-12-29'),
('Zelida', '1989-12-25'),
('Guido', '1989-12-25'),
('Mirco', '1989-12-20'),
('Ivano', '1989-12-17'),
('Ludovico', '1989-12-16'),
('Luigi', '1989-12-11'),
('Kris', '1989-12-08'),
('Giacinta', '1989-12-01'),
('Oreste', '1989-11-28'),
('Maristella', '1989-11-22'),
('Ivonne', '1989-11-16'),
('Tommaso', '1989-11-14'),
('Sabino', '1989-11-06'),
('Cira', '1989-11-05'),
('Grazia', '1989-11-01'),
('Gianleonardo', '1989-11-01'),
('Eustachio', '1989-10-31'),
('Kristel', '1989-10-31'),
('Maruska', '1989-10-29'),
('Maggiore', '1989-10-21'),
('Boris', '1989-10-21'),
('Soriana', '1989-10-19'),
('Antonino', '1989-10-19'),
('Irene', '1989-10-19'),
('Albino', '1989-10-15'),
('Enrica', '1989-10-15'),
('Deborah', '1989-10-10'),
('Diana', '1989-10-10'),
('Lisa', '1989-10-09'),
('Rocco', '1989-10-03'),
('Maruska', '1989-10-02'),
('Mercedes', '1989-09-29'),
('Filomena', '1989-09-25'),
('Gioacchino', '1989-09-23'),
('Eufemia', '1989-09-21'),
('Maruska', '1989-09-18'),
('Maruska', '1989-09-17'),
('Giobbe', '1989-09-16'),
('Genziana', '1989-09-15'),
('Claudia', '1989-09-14'),
('Graziano', '1989-09-12'),
('Orfeo', '1989-09-10'),
('Mirko', '1989-09-08'),
('Zelida', '1989-09-07'),
('Gianriccardo', '1989-09-06'),
('Priamo', '1989-09-05'),
('Bettino', '1989-09-05'),
('Doriana', '1989-09-01'),
('Xavier', '1989-08-27'),
('Costantino', '1989-08-26'),
('Sibilla', '1989-08-25'),
('Matteo', '1989-08-19'),
('Ivano', '1989-08-17'),
('Mirco', '1989-08-15'),
('Sesto', '1989-08-10'),
('Fiorenzo', '1989-08-10'),
('Evangelista', '1989-08-10'),
('Ulrico', '1989-08-06'),
('Raniero', '1989-08-05'),
('Donatella', '1989-08-04'),
('Moreno', '1989-08-03'),
('Karim', '1989-08-02'),
('Jacopo', '1989-07-24'),
('Giacinta', '1989-07-17'),
('Nunzia', '1989-07-17'),
('Ileana', '1989-07-14'),
('Gianmaria', '1989-07-13'),
('Costanzo', '1989-07-05'),
('Nathan', '1989-07-04'),
('Romeo', '1989-07-03'),
('Ilario', '1989-07-02'),
('Michele', '1989-06-25'),
('Patrizio', '1989-06-25'),
('Eufemia', '1989-06-21'),
('Walter', '1989-06-16'),
('Umberto', '1989-06-16'),
('Aaron', '1989-06-14'),
('Mietta', '1989-06-13'),
('Omar', '1989-06-12'),
('Elda', '1989-06-12'),
('Artes', '1989-06-10'),
('Cesidia', '1989-06-08'),
('Eusebio', '1989-06-07'),
('Osvaldo', '1989-06-06'),
('Ubaldo', '1989-06-05'),
('Filomena', '1989-06-03'),
('Pericle', '1989-05-27'),
('Yago', '1989-05-24'),
('Gilda', '1989-05-23'),
('Nazzareno', '1989-05-23'),
('Kristel', '1989-05-22'),
('Mirko', '1989-05-21'),
('Enzo', '1989-05-20'),
('Cira', '1989-05-18'),
('Antimo', '1989-05-16'),
('Luce', '1989-05-08'),
('Deborah', '1989-05-07'),
('Nazzareno', '1989-05-05'),
('Sasha', '1989-05-05'),
('Giancarlo', '1989-05-05'),
('Loredana', '1989-05-04'),
('Diana', '1989-05-04'),
('Donatella', '1989-04-30'),
('Primo', '1989-04-26'),
('Lucia', '1989-04-22'),
('Naomi', '1989-04-20'),
('Lorenzo', '1989-04-20'),
('Tancredi', '1989-04-16'),
('Terzo', '1989-04-13'),
('Fiorentino', '1989-04-11'),
('Damiana', '1989-04-08'),
('Lazzaro', '1989-04-07'),
('Tancredi', '1989-04-03'),
('Egisto', '1989-04-01'),
('Irene', '1989-03-31'),
('Mariagiulia', '1989-03-30'),
('Karim', '1989-03-30'),
('Laura', '1989-03-29'),
('Gabriele', '1989-03-27'),
('Laerte', '1989-03-24'),
('Bernardo', '1989-03-21'),
('Enrico', '1989-03-15'),
('Sirio', '1989-03-14'),
('Antonino', '1989-03-13'),
('Clodovea', '1989-03-12'),
('Mariagiulia', '1989-03-11'),
('Donatella', '1989-03-09'),
('Marina', '1989-03-07'),
('Luigi', '1989-03-06'),
('Caio', '1989-03-02'),
('Dante', '1989-03-02'),
('Danuta', '1989-02-27'),
('Sandro', '1989-02-26'),
('Kai', '1989-02-26'),
('Ileana', '1989-02-24'),
('Modesto', '1989-02-24'),
('Bettino', '1989-02-21'),
('Cleopatra', '1989-02-13'),
('Odino', '1989-02-10'),
('Priamo', '1989-02-10'),
('Anastasio', '1989-02-09'),
('Lidia', '1989-02-09'),
('Albino', '1989-02-07'),
('Lia', '1989-02-04'),
('Marcella', '1989-02-04'),
('Vania', '1989-02-03'),
('Antonino', '1989-02-02'),
('Sebastian', '1989-01-30'),
('Maruska', '1989-01-30'),
('Sabatino', '1989-01-28'),
('Hector', '1989-01-22'),
('Kayla', '1989-01-17'),
('Laura', '1989-01-13'),
('Graziano', '1989-01-11'),
('Lidia', '1989-01-05'),
('Lia', '1988-12-30'),
('Fortunata', '1988-12-28'),
('Carlo', '1988-12-27'),
('Piererminio', '1988-12-24'),
('Marianita', '1988-12-17'),
('Nayade', '1988-12-14'),
('Battista', '1988-12-12'),
('Marino', '1988-12-12'),
('Augusto', '1988-12-11'),
('Ruth', '1988-12-10'),
('Ferdinando', '1988-12-07'),
('Neri', '1988-12-07'),
('Miriam', '1988-12-05'),
('Harry', '1988-12-03'),
('Aroldo', '1988-11-29'),
('Gelsomina', '1988-11-28'),
('Nico', '1988-11-28'),
('Piccarda', '1988-11-21'),
('Tristano', '1988-11-17'),
('Augusto', '1988-11-17'),
('Demi', '1988-11-15'),
('Domiziano', '1988-11-15'),
('Luce', '1988-11-13'),
('Lino', '1988-11-10'),
('Priamo', '1988-11-09'),
('Cassiopea', '1988-11-09'),
('Lucia', '1988-11-08'),
('Lucrezia', '1988-11-07'),
('Rosita', '1988-11-06'),
('Cecco', '1988-11-04'),
('Fortunata', '1988-11-04'),
('Ileana', '1988-11-01'),
('Tommaso', '1988-11-01'),
('Fulvio', '1988-10-29'),
('Emilia', '1988-10-28'),
('Flaviana', '1988-10-26'),
('Siro', '1988-10-20'),
('Ivonne', '1988-10-20'),
('Sue ellen', '1988-10-13'),
('Gilda', '1988-10-12'),
('Egidio', '1988-10-09'),
('Zelida', '1988-10-06'),
('Cira', '1988-10-06'),
('Furio', '1988-10-04'),
('Ruth', '1988-09-27'),
('Sebastian', '1988-09-25'),
('Abramo', '1988-09-23'),
('Luce', '1988-09-18'),
('Emilia', '1988-09-16'),
('Tolomeo', '1988-09-13'),
('Marina', '1988-09-06'),
('Bortolo', '1988-09-05'),
('Lazzaro', '1988-09-02'),
('Deborah', '1988-08-31'),
('Lia', '1988-08-30'),
('Tancredi', '1988-08-26'),
('Dylan', '1988-08-22'),
('Lorenzo', '1988-08-15'),
('Ethan', '1988-08-12'),
('Carmela', '1988-08-11'),
('Giuliano', '1988-08-09'),
('Cesidia', '1988-08-09'),
('Neri', '1988-08-09'),
('Edilio', '1988-08-07'),
('Jacopo', '1988-08-03'),
('Sasha', '1988-07-29'),
('Tolomeo', '1988-07-27'),
('Teseo', '1988-07-26'),
('Tommaso', '1988-07-26'),
('Marianita', '1988-07-19'),
('Renato', '1988-07-16'),
('Tolomeo', '1988-07-16'),
('Amos', '1988-07-11'),
('Demis', '1988-07-06'),
('Ileana', '1988-07-06'),
('Oretta', '1988-07-05'),
('Arduino', '1988-07-03'),
('Arduino', '1988-07-01'),
('Morgana', '1988-06-28'),
('Miriana', '1988-06-25'),
('Antimo', '1988-06-25'),
('Gavino', '1988-06-24'),
('Assia', '1988-06-21'),
('Tazio', '1988-06-19'),
('Alberto', '1988-06-15'),
('Pietro', '1988-06-13'),
('Ortensia', '1988-06-08'),
('Tosca', '1988-06-07'),
('Nadir', '1988-06-05'),
('Matilde', '1988-05-31'),
('Ortensia', '1988-05-30'),
('Sibilla', '1988-05-30'),
('Donatella', '1988-05-29'),
('Doriana', '1988-05-23'),
('Evita', '1988-05-22'),
('Rufo', '1988-05-19'),
('Eufemia', '1988-05-18'),
('Fatima', '1988-05-16'),
('Marzio', '1988-05-12'),
('Damiano', '1988-05-08'),
('Timoteo', '1988-05-08'),
('Clodovea', '1988-05-04'),
('Siro', '1988-05-01'),
('Furio', '1988-05-01'),
('Lino', '1988-04-29'),
('Antonio', '1988-04-25'),
('Ivonne', '1988-04-22'),
('Thea', '1988-04-17'),
('Guido', '1988-04-16'),
('Radames', '1988-04-10'),
('Aroldo', '1988-04-09'),
('Arduino', '1988-04-03'),
('Fiorentino', '1988-04-03'),
('Guido', '1988-04-02'),
('Antonio', '1988-03-29'),
('Akira', '1988-03-29'),
('Tosca', '1988-03-27'),
('Gianmarco', '1988-03-27'),
('Benedetta', '1988-03-24'),
('Walter', '1988-03-23'),
('Emanuel', '1988-03-23'),
('Demian', '1988-03-21'),
('Max', '1988-03-18'),
('Violante', '1988-03-15'),
('Alighiero', '1988-03-04'),
('Isira', '1988-02-29'),
('Enrico', '1988-02-25'),
('Rocco', '1988-02-21'),
('Kayla', '1988-02-21'),
('Ettore', '1988-02-18'),
('Marco', '1988-02-16'),
('Ileana', '1988-02-16'),
('Sarita', '1988-02-16'),
('Luna', '1988-02-14'),
('Flaviana', '1988-02-12'),
('Lia', '1988-02-11'),
('Diana', '1988-02-08'),
('Giovanna', '1988-02-07'),
('Bortolo', '1988-02-04'),
('Enzo', '1988-01-29'),
('Laura', '1988-01-28'),
('Emilia', '1988-01-27'),
('Erminio', '1988-01-26'),
('Abramo', '1988-01-20'),
('Domingo', '1988-01-19'),
('Renato', '1988-01-12'),
('Giorgio', '1988-01-11'),
('Maggiore', '1988-01-11'),
('Loris', '1988-01-09'),
('Giobbe', '1988-01-09'),
('Radames', '1988-01-08'),
('Rocco', '1988-01-07'),
('Sibilla', '1988-01-07'),
('Mirco', '1988-01-07'),
('Gelsomina', '1988-01-07'),
('Felicia', '1988-01-06'),
('Joseph', '1988-01-05'),
('Fulvio', '1988-01-05'),
('Aaron', '1987-12-31'),
('Lucia', '1987-12-27'),
('Leone', '1987-12-21'),
('Radames', '1987-12-21'),
('Giulietta', '1987-12-21'),
('Muzio', '1987-12-18'),
('Ione', '1987-12-15'),
('Ione', '1987-12-15'),
('Rosolino', '1987-12-08'),
('Nick', '1987-12-08'),
('Joey', '1987-12-04'),
('Claudia', '1987-12-01'),
('Celeste', '1987-12-01'),
('Mirko', '1987-11-30'),
('Abramo', '1987-11-29'),
('Quasimodo', '1987-11-23'),
('Joannes', '1987-11-20'),
('Marieva', '1987-11-18'),
('Emilia', '1987-11-12'),
('Sasha', '1987-11-09'),
('Prisca', '1987-11-06'),
('Giancarlo', '1987-11-04'),
('Demi', '1987-11-03'),
('Penelope', '1987-11-01'),
('Domingo', '1987-11-01'),
('Emidio', '1987-10-29'),
('Edipo', '1987-10-25'),
('Lidia', '1987-10-24'),
('Danuta', '1987-10-21'),
('Ninfa', '1987-10-21'),
('Priamo', '1987-10-17'),
('Morgana', '1987-10-17'),
('Ortensia', '1987-10-17'),
('Matilde', '1987-10-13'),
('Diamante', '1987-10-07'),
('Harry', '1987-10-04'),
('Miriam', '1987-10-03'),
('Amos', '1987-10-03'),
('Olo', '1987-10-01'),
('Naomi', '1987-09-28'),
('Claudia', '1987-09-25'),
('Giordano', '1987-09-25'),
('Noemi', '1987-09-23'),
('Diamante', '1987-09-20'),
('Loretta', '1987-09-04'),
('Cirino', '1987-09-04'),
('Alan', '1987-09-03'),
('Lamberto', '1987-09-02'),
('Mattia', '1987-08-29'),
('Sasha', '1987-08-28'),
('Prisca', '1987-08-23'),
('Antimo', '1987-08-22'),
('Monia', '1987-08-21'),
('Pablo', '1987-08-20'),
('Iacopo', '1987-08-19'),
('Enrica', '1987-08-18'),
('Sibilla', '1987-08-18'),
('Maristella', '1987-08-11'),
('Loredana', '1987-08-11'),
('Sasha', '1987-08-10'),
('Arduino', '1987-08-08'),
('Elga', '1987-08-07'),
('Lucrezia', '1987-08-05'),
('Davide', '1987-08-04'),
('Mauro', '1987-08-01'),
('Joannes', '1987-07-27'),
('Laerte', '1987-07-23'),
('Prisca', '1987-07-18'),
('Gianleonardo', '1987-07-17'),
('Moreno', '1987-07-15'),
('Miriam', '1987-07-07'),
('Lucrezia', '1987-07-06'),
('Adriano', '1987-07-04'),
('Lidia', '1987-07-04'),
('Olo', '1987-07-03'),
('Ortensia', '1987-07-02'),
('Gelsomina', '1987-06-26'),
('Giulietta', '1987-06-16'),
('Maggiore', '1987-06-15'),
('Morgana', '1987-06-13'),
('Thea', '1987-06-04'),
